RSSI,Distance
6,-67
6,-68
6,-65
6,-80
6,-86
6,-80
6,-65
6,-71
6,-68
6,-70
6,-77
6,-75
6,-65
6,-67
6,-70
6,-72
6,-66
6,-68
6,-80
6,-70
6,-70
6,-73
6,-67
10,-59
10,-67
10,-70
10,-78
10,-76
10,-81
10,-70
10,-82
10,-69
10,-76
10,-73
10,-77
10,-76
10,-69
10,-67
10,-75
10,-65
10,-75
10,-83
10,-71
10,-73
10,-83
10,-79
10,-74
10,-88
10,-70
10,-83
10,-78
10,-73
10,-73
10,-71
10,-85
10,-84
10,-74
10,-79
10,-76
10,-73
10,-70
10,-77
10,-76
10,-73
10,-85
10,-73
10,-79
10,-65
15,-76
15,-72
15,-75
15,-79
15,-71
15,-79
15,-79
15,-81
15,-80
15,-76
15,-76
15,-71
15,-77
15,-74
15,-75
15,-74
15,-79
15,-74
15,-78
20,-77
20,-77
20,-75
20,-75
20,-76
20,-86
20,-80
20,-74
20,-77
20,-85
20,-76
20,-73
20,-74
20,-81
20,-87
20,-81
20,-79
20,-75
20,-77
20,-80
20,-76
20,-80
20,-80
20,-83
20,-82
25,-79
25,-80
25,-80
25,-78
25,-82
25,-77
25,-79
25,-76
25,-88
25,-73
25,-79
25,-77
25,-77
25,-76
25,-78
25,-75
25,-79
25,-76
25,-77
25,-76
25,-73
25,-79
25,-79
25,-78
6,-70
6,-77
6,-74
6,-68
6,-77
6,-68
6,-73
6,-76
6,-79
6,-74
6,-75
6,-73
6,-72
6,-72
6,-72
6,-77
6,-73
6,-57
6,-63
6,-66
6,-59
6,-67
6,-73
6,-71
6,-71
6,-65
6,-74
6,-74
6,-67
6,-79
6,-75
6,-70
6,-64
6,-74
6,-76
6,-78
6,-74
6,-70
6,-68
6,-72
6,-76
6,-76
6,-67
6,-77
6,-69
6,-75
6,-73
6,-74
6,-72
6,-70
6,-76
6,-81
6,-73
6,-64
6,-73
6,-69
6,-76
6,-71
6,-68
6,-67
6,-71
6,-71
6,-70
6,-68
6,-71
6,-68
6,-65
6,-74
6,-71
6,-76
6,-58
6,-73
6,-63
6,-78
6,-74
6,-74
6,-73
6,-68
6,-74
6,-75
6,-67
6,-69
6,-72
6,-71
6,-77
6,-78
6,-73
6,-73
6,-73
6,-77
6,-74
6,-73
6,-71
6,-68
6,-73
6,-74
6,-74
6,-77
6,-67
6,-69
6,-65
6,-77
6,-75
6,-76
6,-73
6,-72
6,-70
6,-80
6,-79
6,-75
6,-68
6,-70
6,-68
6,-70
6,-75
6,-71
6,-76
6,-74
6,-77
6,-74
6,-71
6,-70
6,-71
6,-68
6,-71
6,-69
6,-68
6,-77
6,-74
6,-72
6,-65
6,-73
6,-78
6,-76
6,-76
6,-73
6,-78
6,-76
6,-68
6,-80
6,-70
6,-78
6,-74
6,-75
6,-74
6,-73
6,-80
6,-77
6,-73
6,-73
6,-75
6,-71
6,-65
6,-74
6,-76
6,-78
6,-76
6,-68
6,-70
6,-77
6,-73
6,-81
6,-76
6,-70
6,-79
6,-71
6,-77
6,-67
6,-71
6,-68
6,-72
6,-69
6,-70
6,-80
6,-67
6,-71
6,-76
6,-74
6,-76
6,-64
6,-73
6,-68
6,-70
6,-80
6,-72
6,-73
6,-77
6,-75
6,-74
6,-71
6,-71
6,-72
6,-71
6,-71
6,-78
6,-77
6,-73
6,-69
6,-72
6,-79
6,-68
6,-73
6,-78
6,-74
6,-77
6,-79
6,-80
6,-80
6,-77
6,-73
10,-74
10,-75
10,-74
10,-77
10,-68
10,-75
10,-70
10,-77
10,-70
10,-73
10,-73
10,-71
10,-72
10,-77
10,-74
10,-71
10,-73
10,-68
10,-77
10,-74
10,-78
10,-68
10,-68
10,-76
10,-76
10,-74
10,-71
10,-77
10,-76
10,-72
10,-73
10,-77
10,-73
10,-76
10,-72
10,-77
10,-74
10,-79
10,-74
10,-70
10,-68
10,-73
10,-68
10,-80
10,-76
10,-76
10,-70
10,-62
10,-72
10,-69
10,-71
10,-71
10,-73
10,-73
10,-70
10,-69
10,-68
10,-74
10,-72
10,-78
10,-77
10,-77
10,-65
10,-74
10,-74
10,-62
10,-69
10,-80
10,-70
10,-75
10,-64
10,-77
10,-64
10,-76
10,-77
10,-71
10,-81
10,-65
10,-76
10,-80
